MeterID,Assigned,time,F,kWa,kWb,kWc,kWtotal
33,ITC (Accuvim),2017-11-04 03:00:17,59.98,39.726,39.389,36.952,116.066
33,ITC (Accuvim),2017-11-04 03:15:16,60,40.048,39.468,37.159,116.675
33,ITC (Accuvim),2017-11-04 03:30:18,60.01,38.996,38.207,36.019,113.222
33,ITC (Accuvim),2017-11-04 03:45:16,59.99,38.811,38.32,35.702,112.832
33,ITC (Accuvim),2017-11-04 04:00:17,60.01,38.31,38.05,35.807,112.167
33,ITC (Accuvim),2017-11-04 04:15:18,59.99,39.154,39.182,36.619,114.955
33,ITC (Accuvim),2017-11-04 04:30:15,60.02,38.263,38.257,35.685,112.205
33,ITC (Accuvim),2017-11-04 04:45:15,60.03,38.801,40.626,36.464,115.891
33,ITC (Accuvim),2017-11-04 05:00:15,60,39.141,39.192,36.008,114.341
33,ITC (Accuvim),2017-11-04 05:15:15,59.99,39.076,39.3,35.685,114.061
33,ITC (Accuvim),2017-11-04 05:30:15,59.99,37.76,38.998,35.869,112.627
33,ITC (Accuvim),2017-11-04 05:45:14,60,37.689,39.062,35.906,112.656
33,ITC (Accuvim),2017-11-04 06:00:15,60.01,37.516,39.134,35.902,112.552
33,ITC (Accuvim),2017-11-04 06:15:17,59.97,37.486,38.91,35.997,112.393
33,ITC (Accuvim),2017-11-04 06:30:16,60,36.762,38.209,35.147,110.118
33,ITC (Accuvim),2017-11-04 06:45:15,59.98,36.742,38.254,35.026,110.022
33,ITC (Accuvim),2017-11-04 07:00:17,60.02,37.701,39.035,35.809,112.545
33,ITC (Accuvim),2017-11-04 07:15:14,59.99,37.532,39.107,36.322,112.962
33,ITC (Accuvim),2017-11-04 07:45:16,60,37.723,40.443,35.513,113.678
33,ITC (Accuvim),2017-11-04 08:00:16,59.99,37.308,38.264,35.155,110.726
33,ITC (Accuvim),2017-11-04 08:15:16,59.99,37.144,38.065,34.872,110.081
33,ITC (Accuvim),2017-11-04 08:30:18,59.99,37.043,38.848,35.009,110.9
33,ITC (Accuvim),2017-11-04 08:45:16,60,37.945,39.002,36.053,113
33,ITC (Accuvim),2017-11-04 09:00:16,60,38.103,39.302,35.922,113.326
33,ITC (Accuvim),2017-11-04 09:15:15,60.01,38.824,41.481,36.494,116.798
33,ITC (Accuvim),2017-11-04 09:45:14,60,37.206,38.018,34.93,110.154
33,ITC (Accuvim),2017-11-04 10:00:18,60.02,37.42,38.561,35.179,111.159
33,ITC (Accuvim),2017-11-04 10:15:16,60.01,40.706,41.681,38.029,120.415
33,ITC (Accuvim),2017-11-04 10:30:16,60.01,41.255,43.843,39.936,125.035
33,ITC (Accuvim),2017-11-04 10:45:17,59.99,41.565,42.3,39.811,123.675
33,ITC (Accuvim),2017-11-04 11:00:14,59.99,41.473,42.498,39.251,123.223
33,ITC (Accuvim),2017-11-04 11:15:15,59.99,40.002,42.314,38.76,121.076
33,ITC (Accuvim),2017-11-04 11:30:15,59.97,40.823,43.264,39.723,123.81
33,ITC (Accuvim),2017-11-04 11:45:15,60,42.145,45.665,40.306,128.116
33,ITC (Accuvim),2017-11-04 12:00:15,60,40.476,42.876,38.807,122.159
33,ITC (Accuvim),2017-11-04 12:15:16,59.98,42.443,44.767,41.099,128.309
33,ITC (Accuvim),2017-11-04 12:30:15,59.97,42.786,44.633,41.398,128.818
33,ITC (Accuvim),2017-11-04 12:45:15,60,42.516,44.761,41.161,128.437
33,ITC (Accuvim),2017-11-04 13:15:15,59.99,42.971,44.893,41.637,129.501
33,ITC (Accuvim),2017-11-04 13:30:15,59.97,42.365,44.17,40.653,127.187
33,ITC (Accuvim),2017-11-04 13:45:14,60,43.477,45.43,41.762,130.669
33,ITC (Accuvim),2017-11-04 14:00:15,59.97,44.467,47.458,42.827,134.753
33,ITC (Accuvim),2017-11-04 14:15:15,60,44.01,45.524,42.28,131.814
33,ITC (Accuvim),2017-11-04 14:30:15,60,43.847,45.449,42.472,131.768
33,ITC (Accuvim),2017-11-04 15:00:15,60,45.96,48.877,43.863,138.7
33,ITC (Accuvim),2017-11-04 15:15:15,59.99,43.587,45.434,41.924,130.945
33,ITC (Accuvim),2017-11-04 15:30:17,59.97,43.151,45.049,41.457,129.656
33,ITC (Accuvim),2017-11-04 15:45:15,60,42.32,44.194,40.735,127.25
33,ITC (Accuvim),2017-11-04 16:00:14,59.99,43.776,47.263,41.747,132.786
33,ITC (Accuvim),2017-11-04 16:15:15,60,43.117,44.893,40.674,128.683
33,ITC (Accuvim),2017-11-04 16:30:16,59.99,43.279,45.251,41.102,129.632
33,ITC (Accuvim),2017-11-04 16:45:24,59.99,42.585,44.399,39.956,126.94
33,ITC (Accuvim),2017-11-04 17:00:14,60,44.414,47.517,41.955,133.886
33,ITC (Accuvim),2017-11-04 17:15:15,60,43.601,45.422,41.404,130.427
33,ITC (Accuvim),2017-11-04 17:30:15,59.99,43.459,45.202,41.427,130.087
33,ITC (Accuvim),2017-11-04 17:45:15,59.99,44.465,47.751,41.741,133.957
33,ITC (Accuvim),2017-11-04 18:00:14,59.99,43.852,45.14,41.318,130.31
