"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 00:00","2016","08","01","00:00","16.2","","14.2","","88","","34","","9","","","","101.58","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 01:00","2016","08","01","01:00","15.3","","13.6","","90","","34","","9","","","","101.57","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 02:00","2016","08","01","02:00","14.6","","12.9","","90","","34","","6","","","","101.56","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 03:00","2016","08","01","03:00","13.8","","12.7","","93","","34","","7","","","","101.56","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 04:00","2016","08","01","04:00","12.6","","11.6","","94","","30","","3","","","","101.59","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 05:00","2016","08","01","05:00","12.2","","11.4","","95","","33","","3","","","","101.64","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 06:00","2016","08","01","06:00","12.6","","11.3","","92","","33","","5","","","","101.64","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 07:00","2016","08","01","07:00","14.0","","12.1","","88","","35","","8","","","","101.64","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 08:00","2016","08","01","08:00","16.3","","13.1","","81","","34","","6","","","","101.68","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 09:00","2016","08","01","09:00","18.6","","13.1","","70","","32","","5","","","","101.68","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2016-08-01 10:00","2016","08","01","10:00","21.5","","12.4","","56","","2","","2","","","","101.66","","","","","","NA"
