"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 00:00","2017","08","01","00:00","18.2","","17.1","","93","","32","","5","","","","100.89","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 01:00","2017","08","01","01:00","17.3","","16.4","","94","","33","","5","","","","100.87","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 02:00","2017","08","01","02:00","17.3","","16.4","","95","","31","","4","","","","100.88","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 03:00","2017","08","01","03:00","17.1","","16.0","","94","","33","","4","","","","100.88","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 04:00","2017","08","01","04:00","16.6","","15.5","","93","","33","","3","","","","100.90","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 05:00","2017","08","01","05:00","15.4","","14.5","","94","","0","","1","","","","100.90","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 06:00","2017","08","01","06:00","15.8","","15.1","","95","","32","","1","","","","100.94","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 07:00","2017","08","01","07:00","18.2","","16.2","","88","","33","","8","","","","100.98","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 08:00","2017","08","01","08:00","19.7","","14.2","","71","","31","","5","","","","101.04","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 09:00","2017","08","01","09:00","20.7","","13.9","","65","","34","","4","","","","101.06","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 10:00","2017","08","01","10:00","22.6","","11.5","","50","","32","","11","","","","101.06","","25","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 11:00","2017","08","01","11:00","23.4","","11.8","","48","","28","","13","","","","101.06","","26","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 12:00","2017","08","01","12:00","24.9","","8.4","","35","","30","","15","","","","101.07","","25","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 13:00","2017","08","01","13:00","25.9","","6.8","","30","","29","","18","","","","101.04","","26","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 14:00","2017","08","01","14:00","25.6","","4.6","","26","","28","","23","","","","101.04","","25","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 15:00","2017","08","01","15:00","26.3","","4.9","","25","","30","","18","","","","101.05","","26","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 16:00","2017","08","01","16:00","26.6","","6.0","","27","","29","","15","","","","101.05","","26","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 17:00","2017","08","01","17:00","26.6","","5.2","","25","","29","","15","","","","101.05","","26","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 18:00","2017","08","01","18:00","26.2","","4.4","","25","","27","","15","","","","101.06","","25","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 19:00","2017","08","01","19:00","24.9","","5.2","","28","","28","","11","","","","101.10","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-08-01 20:00","2017","08","01","20:00","22.2","","7.3","","38","","26","","6","","","","101.16","","","","","","NA"
