"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 00:00","2015","03","01","00:00","-9.3","","-17.5","","51","","28","","15","","","","103.16","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 01:00","2015","03","01","01:00","-9.6","","-17.4","","53","","28","","12","","","","103.22","","","","-15","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 02:00","2015","03","01","02:00","-11.1","","-17.6","","59","","29","","9","","","","103.27","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 03:00","2015","03","01","03:00","-15.0","","-19.2","","71","","33","","3","","","","103.27","","","","-17","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 04:00","2015","03","01","04:00","-15.5","","-19.5","","72","","0","","1","","","","103.27","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 05:00","2015","03","01","05:00","-18.7","","-20.7","","84","","8","","2","","","","103.32","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 06:00","2015","03","01","06:00","-19.6","","-21.4","","85","","","","0","","","","103.36","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 07:00","2015","03","01","07:00","-21.4","","-23.0","","87","","32","","3","","","","103.31","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 08:00","2015","03","01","08:00","-21.3","","-23.5","","82","","32","","3","","","","103.33","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 09:00","2015","03","01","09:00","-20.7","","-22.7","","84","","34","","5","","","","103.27","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 10:00","2015","03","01","10:00","-16.3","","-20.2","","72","","34","","4","","","","103.25","","","","-19","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 11:00","2015","03","01","11:00","-11.0","","-17.1","","61","","","","0","","","","103.20","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 12:00","2015","03","01","12:00","-7.3","","-14.3","","57","","34","","3","","","","103.10","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 13:00","2015","03","01","13:00","-5.8","","-13.8","","53","","10","","10","","","","102.97","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 14:00","2015","03","01","14:00","-4.2","","-13.4","","49","","20","","19","","","","102.82","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 15:00","2015","03","01","15:00","-3.7","","-13.8","","45","","19","","20","","","","102.67","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 16:00","2015","03","01","16:00","-2.7","","-13.9","","42","","19","","15","","","","102.55","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 17:00","2015","03","01","17:00","-3.4","","-13.8","","44","","21","","17","","","","102.47","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 18:00","2015","03","01","18:00","-3.9","","-12.6","","51","","19","","14","","","","102.35","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 19:00","2015","03","01","19:00","-4.5","","-11.3","","59","","19","","12","","","","102.28","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 20:00","2015","03","01","20:00","-4.3","","-9.2","","69","","17","","11","","","","102.15","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 21:00","2015","03","01","21:00","-5.0","","-8.5","","76","","17","","7","","","","101.99","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 22:00","2015","03","01","22:00","-5.3","","-8.2","","80","","14","","4","","","","101.87","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-01 23:00","2015","03","01","23:00","-5.1","","-6.5","","90","","15","","5","","","","101.70","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 00:00","2015","03","02","00:00","-5.5","","-6.3","","94","","13","","3","","","","101.59","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 01:00","2015","03","02","01:00","-5.3","","-5.7","","97","","13","","5","","","","101.45","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 02:00","2015","03","02","02:00","-5.5","","-5.8","","97","","13","","3","","","","101.28","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 03:00","2015","03","02","03:00","-5.3","","-5.7","","97","","","","0","","","","101.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 04:00","2015","03","02","04:00","-5.4","","-5.8","","97","","13","","1","","","","100.98","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 05:00","2015","03","02","05:00","-5.8","","-6.2","","97","","13","","1","","","","100.84","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 06:00","2015","03","02","06:00","-6.0","","-6.3","","97","","","","0","","","","100.72","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-03-02 07:00","2015","03","02","07:00","-5.4","","-6.6","","92","","29","","5","","","","100.62","","","","-8","","NA"
