"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 00:00","2015","05","01","00:00","1.7","","0.0","","89","","35","","9","","","","101.26","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 01:00","2015","05","01","01:00","1.5","","-0.4","","88","","36","","13","","","","101.25","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 02:00","2015","05","01","02:00","1.4","","-0.4","","88","","35","","14","","","","101.20","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 03:00","2015","05","01","03:00","1.3","","-0.6","","87","","36","","12","","","","101.17","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 04:00","2015","05","01","04:00","1.1","","-0.6","","88","","1","","9","","","","101.17","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 05:00","2015","05","01","05:00","0.9","","-0.7","","89","","2","","6","","","","101.21","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 06:00","2015","05","01","06:00","0.7","","-0.8","","90","","3","","7","","","","101.26","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 07:00","2015","05","01","07:00","1.3","","-0.7","","86","","5","","10","","","","101.30","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 08:00","2015","05","01","08:00","3.3","","-0.5","","76","","2","","11","","","","101.31","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 09:00","2015","05","01","09:00","4.5","","-0.6","","69","","5","","13","","","","101.32","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 10:00","2015","05","01","10:00","4.8","","-0.6","","68","","3","","11","","","","101.32","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 11:00","2015","05","01","11:00","5.0","","-0.6","","67","","2","","12","","","","101.30","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 12:00","2015","05","01","12:00","5.6","","-0.3","","66","","4","","13","","","","101.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 13:00","2015","05","01","13:00","6.3","","-0.9","","60","","1","","12","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 14:00","2015","05","01","14:00","6.8","","-1.3","","56","","36","","12","","","","101.21","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 15:00","2015","05","01","15:00","7.4","","-0.9","","56","","2","","10","","","","101.19","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 16:00","2015","05","01","16:00","7.7","","-1.0","","54","","4","","10","","","","101.17","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 17:00","2015","05","01","17:00","7.8","","-0.1","","57","","11","","10","","","","101.15","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 18:00","2015","05","01","18:00","7.5","","-0.1","","59","","11","","11","","","","101.14","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 19:00","2015","05","01","19:00","6.6","","-0.3","","62","","11","","12","","","","101.15","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 20:00","2015","05","01","20:00","4.7","","0.2","","72","","10","","9","","","","101.19","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 21:00","2015","05","01","21:00","2.9","","0.3","","83","","13","","6","","","","101.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 22:00","2015","05","01","22:00","1.9","","0.1","","88","","8","","1","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-01 23:00","2015","05","01","23:00","1.4","","-0.5","","87","","13","","4","","","","101.23","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 00:00","2015","05","02","00:00","0.2","","-1.0","","91","","20","","3","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 01:00","2015","05","02","01:00","-0.6","","-1.2","","96","","34","","3","","","","101.24","","","","-2","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 02:00","2015","05","02","02:00","-1.1","","-1.4","","98","","30","","6","","","","101.24","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 03:00","2015","05","02","03:00","-1.5","","-1.8","","98","","36","","3","","","","101.25","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 04:00","2015","05","02","04:00","-1.8","","-1.9","","99","","29","","2","","","","101.22","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 05:00","2015","05","02","05:00","-2.0","","-2.1","","99","","31","","2","","","","101.22","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 06:00","2015","05","02","06:00","-1.9","","-2.0","","99","","33","","3","","","","101.26","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 07:00","2015","05","02","07:00","0.3","","-0.7","","93","","10","","4","","","","101.25","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 08:00","2015","05","02","08:00","2.3","","0.8","","90","","11","","5","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-05-02 09:00","2015","05","02","09:00","4.7","","1.7","","81","","11","","9","","","","101.22","","","","","","NA"
