"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 00:00","2015","02","01","00:00","-11.7","","-13.5","","86","","30","","29","","","","99.88","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 01:00","2015","02","01","01:00","-12.2","","-14.3","","84","","31","","32","","","","99.90","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 02:00","2015","02","01","02:00","-12.9","","-15.9","","78","","32","","31","","","","99.90","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 03:00","2015","02","01","03:00","-14.1","","-17.8","","73","","31","","29","","","","99.94","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 04:00","2015","02","01","04:00","-14.2","","-19.3","","65","","31","","28","","","","99.93","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 05:00","2015","02","01","05:00","-15.0","","-20.1","","65","","32","","30","","","","99.94","","","","-26","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 06:00","2015","02","01","06:00","-15.2","","-20.3","","65","","31","","32","","","","100.03","","","","-27","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 07:00","2015","02","01","07:00","-15.7","","-20.0","","69","","30","","34","","","","100.18","","","","-28","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 08:00","2015","02","01","08:00","-15.3","","-19.4","","71","","31","","28","","","","100.27","","","","-26","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-02-01 09:00","2015","02","01","09:00","-15.0","","-19.5","","68","","31","","29","","","","100.36","","","","-26","","NA"
