"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 00:00","2017","12","01","00:00","-1.2","","-4.1","","81","","14","","7","","","","101.51","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 01:00","2017","12","01","01:00","-0.9","","-3.7","","82","","16","","5","","","","101.41","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 02:00","2017","12","01","02:00","-0.7","","-3.3","","83","","23","","2","","","","101.37","","","","-1","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 03:00","2017","12","01","03:00","-0.5","","-2.7","","85","","15","","6","","","","101.30","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 04:00","2017","12","01","04:00","-0.4","","-2.4","","86","","12","","4","","","","101.23","","","","-2","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 05:00","2017","12","01","05:00","0.8","","-0.7","","90","","12","","6","","","","101.17","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 06:00","2017","12","01","06:00","1.6","","0.1","","90","","16","","4","","","","101.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 07:00","2017","12","01","07:00","1.3","","-0.6","","87","","34","","4","","","","101.20","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 08:00","2017","12","01","08:00","1.2","","0.0","","92","","19","","5","","","","101.25","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 09:00","2017","12","01","09:00","3.9","","3.2","","95","","22","","7","","","","101.28","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 10:00","2017","12","01","10:00","3.1","","2.5","","96","","11","","8","","","","101.30","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 11:00","2017","12","01","11:00","3.4","","3.0","","97","","10","","3","","","","101.30","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 12:00","2017","12","01","12:00","4.2","","3.8","","97","","25","","1","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 13:00","2017","12","01","13:00","4.5","","4.1","","97","","","","0","","","","101.21","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 14:00","2017","12","01","14:00","4.9","","4.3","","97","","","","0","","","","101.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 15:00","2017","12","01","15:00","5.0","","4.2","","95","","36","","4","","","","101.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 16:00","2017","12","01","16:00","4.8","","4.1","","95","","32","","5","","","","101.33","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 17:00","2017","12","01","17:00","4.6","","3.5","","92","","32","","7","","","","101.36","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 18:00","2017","12","01","18:00","4.3","","2.9","","90","","31","","9","","","","101.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 19:00","2017","12","01","19:00","3.6","","2.5","","93","","32","","5","","","","101.53","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 20:00","2017","12","01","20:00","3.3","","2.3","","93","","30","","10","","","","101.62","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 21:00","2017","12","01","21:00","2.8","","0.9","","87","","31","","12","","","","101.64","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 22:00","2017","12","01","22:00","2.3","","0.5","","87","","33","","9","","","","101.69","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-01 23:00","2017","12","01","23:00","1.2","","0.0","","92","","32","","10","","","","101.75","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 00:00","2017","12","02","00:00","1.3","","0.0","","91","","32","","8","","","","101.78","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 01:00","2017","12","02","01:00","1.1","","-1.0","","86","","32","","12","","","","101.79","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 02:00","2017","12","02","02:00","0.5","","-1.5","","86","","32","","14","","","","101.85","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 03:00","2017","12","02","03:00","0.2","","-2.0","","85","","32","","12","","","","101.90","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 04:00","2017","12","02","04:00","-0.5","","-2.4","","87","","33","","7","","","","101.92","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 05:00","2017","12","02","05:00","-1.6","","-2.8","","91","","30","","3","","","","101.97","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 06:00","2017","12","02","06:00","-2.0","","-4.0","","86","","31","","7","","","","102.01","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 07:00","2017","12","02","07:00","-1.6","","-4.0","","84","","32","","11","","","","102.05","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 08:00","2017","12","02","08:00","-1.7","","-4.0","","85","","33","","10","","","","102.09","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 09:00","2017","12","02","09:00","-1.2","","-3.7","","83","","33","","7","","","","102.15","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 10:00","2017","12","02","10:00","-0.2","","-3.6","","78","","32","","10","","","","102.15","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 11:00","2017","12","02","11:00","0.1","","-3.2","","78","","34","","9","","","","102.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 12:00","2017","12","02","12:00","0.3","","-2.8","","79","","33","","10","","","","102.13","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 13:00","2017","12","02","13:00","0.5","","-3.1","","77","","33","","10","","","","102.08","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-12-02 14:00","2017","12","02","14:00","0.5","","-3.3","","76","","34","","9","","","","102.06","","","","","","NA"
