"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 00:00","2015","11","01","00:00","2.5","","0.2","","85","","18","","5","","","","101.45","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 01:00","2015","11","01","01:00","2.6","","-0.2","","82","","17","","6","","","","101.44","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 02:00","2015","11","01","02:00","2.3","","0.2","","86","","17","","5","","","","101.41","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 03:00","2015","11","01","03:00","2.5","","-0.1","","83","","12","","4","","","","101.39","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 04:00","2015","11","01","04:00","2.1","","0.3","","88","","15","","5","","","","101.37","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 05:00","2015","11","01","05:00","2.2","","0.4","","88","","15","","4","","","","101.34","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 06:00","2015","11","01","06:00","2.5","","0.8","","88","","18","","4","","","","101.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 07:00","2015","11","01","07:00","2.7","","1.2","","90","","18","","3","","","","101.20","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 08:00","2015","11","01","08:00","3.2","","1.7","","90","","19","","3","","","","101.16","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 09:00","2015","11","01","09:00","4.5","","2.7","","88","","0","","1","","","","101.08","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 10:00","2015","11","01","10:00","5.4","","4.1","","91","","14","","4","","","","100.95","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 11:00","2015","11","01","11:00","6.9","","6.1","","95","","15","","8","","","","100.93","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 12:00","2015","11","01","12:00","7.7","","7.0","","96","","11","","9","","","","100.84","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 13:00","2015","11","01","13:00","8.2","","7.5","","96","","14","","5","","","","100.71","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 14:00","2015","11","01","14:00","8.3","","7.7","","96","","14","","12","","","","100.54","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 15:00","2015","11","01","15:00","8.6","","7.9","","95","","15","","12","","","","100.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 16:00","2015","11","01","16:00","8.8","","8.3","","97","","14","","12","","","","100.26","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 17:00","2015","11","01","17:00","9.6","","8.9","","96","","16","","12","","","","100.18","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 18:00","2015","11","01","18:00","9.9","","9.0","","94","","17","","13","","","","100.09","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 19:00","2015","11","01","19:00","10.0","","9.1","","94","","21","","10","","","","100.04","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 20:00","2015","11","01","20:00","10.2","","9.2","","94","","22","","13","","","","99.99","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 21:00","2015","11","01","21:00","10.1","","8.8","","92","","23","","13","","","","99.98","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 22:00","2015","11","01","22:00","9.7","","8.3","","91","","24","","15","","","","99.98","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-01 23:00","2015","11","01","23:00","9.2","","7.8","","91","","25","","7","","","","100.00","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 00:00","2015","11","02","00:00","8.7","","7.4","","92","","29","","6","","","","100.03","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 01:00","2015","11","02","01:00","8.4","","6.8","","90","","26","","4","","","","100.03","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 02:00","2015","11","02","02:00","6.6","","6.0","","96","","20","","6","","","","100.10","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 03:00","2015","11","02","03:00","5.6","","5.2","","97","","16","","6","","","","100.13","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 04:00","2015","11","02","04:00","6.1","","5.8","","98","","21","","12","","","","100.18","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 05:00","2015","11","02","05:00","7.0","","5.9","","93","","24","","8","","","","100.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 06:00","2015","11","02","06:00","8.1","","6.7","","91","","23","","10","","","","100.29","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 07:00","2015","11","02","07:00","8.5","","6.6","","88","","25","","14","","","","100.36","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 08:00","2015","11","02","08:00","7.9","","6.3","","90","","24","","13","","","","100.48","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 09:00","2015","11","02","09:00","9.4","","7.1","","86","","25","","14","","","","100.59","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 10:00","2015","11","02","10:00","10.5","","7.3","","80","","25","","16","","","","100.64","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 11:00","2015","11","02","11:00","11.1","","6.9","","75","","27","","19","","","","100.71","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 12:00","2015","11","02","12:00","11.5","","5.9","","69","","30","","23","","","","100.76","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 13:00","2015","11","02","13:00","9.9","","6.5","","79","","30","","18","","","","100.82","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 14:00","2015","11","02","14:00","10.1","","5.4","","73","","30","","18","","","","100.80","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 15:00","2015","11","02","15:00","11.2","","5.1","","66","","31","","16","","","","100.86","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-11-02 16:00","2015","11","02","16:00","9.6","","4.5","","70","","34","","14","","","","100.99","","","","","","NA"
