"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 00:00","2015","01","01","00:00","-14.8","","-17.8","","78","","22","","7","","","","101.45","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 01:00","2015","01","01","01:00","-14.6","","-17.4","","80","","19","","7","","","","101.40","","","","-19","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 02:00","2015","01","01","02:00","-14.7","","-17.0","","83","","18","","6","","","","101.29","","","","-19","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 03:00","2015","01","01","03:00","-14.2","","-16.8","","81","","12","","3","","","","101.21","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 04:00","2015","01","01","04:00","-14.1","","-16.3","","83","","14","","3","","","","101.11","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 05:00","2015","01","01","05:00","-13.5","","-15.8","","83","","17","","7","","","","100.97","","","","-18","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 06:00","2015","01","01","06:00","-13.5","","-15.5","","85","","17","","1","","","","100.93","","","","-14","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 07:00","2015","01","01","07:00","-13.3","","-15.0","","87","","0","","1","","","","100.88","","","","-14","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 08:00","2015","01","01","08:00","-12.8","","-14.6","","87","","","","0","","","","100.86","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 09:00","2015","01","01","09:00","-11.5","","-13.7","","84","","9","","4","","","","100.89","","","","-14","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 10:00","2015","01","01","10:00","-10.1","","-13.2","","78","","17","","7","","","","100.91","","","","-14","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 11:00","2015","01","01","11:00","-7.0","","-11.8","","69","","20","","10","","","","100.85","","","","-12","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 12:00","2015","01","01","12:00","-4.7","","-13.9","","48","","26","","12","","","","100.67","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 13:00","2015","01","01","13:00","-3.9","","-14.4","","44","","26","","15","","","","100.58","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 14:00","2015","01","01","14:00","-3.2","","-15.8","","37","","27","","19","","","","100.53","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 15:00","2015","01","01","15:00","-2.8","","-15.2","","38","","22","","18","","","","100.48","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 16:00","2015","01","01","16:00","-3.0","","-15.2","","39","","23","","17","","","","100.54","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 17:00","2015","01","01","17:00","-4.0","","-15.0","","42","","23","","7","","","","100.58","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 18:00","2015","01","01","18:00","-5.1","","-12.9","","54","","18","","7","","","","100.57","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 19:00","2015","01","01","19:00","-4.8","","-13.5","","50","","22","","12","","","","100.55","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 20:00","2015","01","01","20:00","-5.5","","-13.3","","54","","20","","12","","","","100.55","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 21:00","2015","01","01","21:00","-5.8","","-13.1","","56","","21","","12","","","","100.54","","","","-11","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 22:00","2015","01","01","22:00","-5.2","","-13.1","","54","","22","","14","","","","100.55","","","","-11","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2015-01-01 23:00","2015","01","01","23:00","-4.9","","-12.3","","56","","22","","12","","","","100.53","","","","-10","","NA"
