"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 00:00","2019","09","01","00:00","14.7","","10.0","","74","","32","","12","","","","101.94","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 01:00","2019","09","01","01:00","13.2","","8.0","","71","","31","","7","","","","102.04","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 02:00","2019","09","01","02:00","12.2","","6.6","","68","","31","","7","","","","102.11","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 03:00","2019","09","01","03:00","10.4","","6.6","","78","","","","0","","","","102.19","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 04:00","2019","09","01","04:00","8.5","","6.6","","88","","25","","4","","","","102.23","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 05:00","2019","09","01","05:00","8.3","","6.3","","87","","28","","4","","","","102.27","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 06:00","2019","09","01","06:00","8.5","","7.8","","96","","34","","6","","","","102.34","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 07:00","2019","09","01","07:00","9.2","","8.4","","94","","34","","5","","","","102.38","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 08:00","2019","09","01","08:00","11.6","","8.8","","83","","1","","4","","","","102.43","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 09:00","2019","09","01","09:00","14.3","","6.8","","61","","34","","6","","","","102.47","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 10:00","2019","09","01","10:00","15.3","","6.3","","55","","35","","9","","","","102.48","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 11:00","2019","09","01","11:00","16.3","","6.1","","51","","35","","7","","","","102.46","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 12:00","2019","09","01","12:00","17.7","","7.1","","50","","34","","9","","","","102.41","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 13:00","2019","09","01","13:00","18.6","","5.5","","42","","34","","10","","","","102.38","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 14:00","2019","09","01","14:00","19.7","","7.0","","44","","32","","5","","","","102.32","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 15:00","2019","09","01","15:00","20.7","","5.5","","37","","28","","9","","","","102.29","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 16:00","2019","09","01","16:00","20.8","","4.9","","35","","27","","7","","","","102.24","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 17:00","2019","09","01","17:00","20.9","","7.8","","43","","23","","9","","","","102.22","","","","","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-09-01 18:00","2019","09","01","18:00","19.8","","7.2","","44","","22","","7","","","","102.19","","","","","","NA"
